time,mic_value,clap_factor
1.5688354969024658,452,0.0
1.5688354969024658,467,7.5
1.5869131088256836,528,45.666666666666686
1.592972993850708,529,35.0
1.5952777862548828,520,20.80000000000001
1.6024196147918701,526,22.333333333333314
1.609196424484253,497,0.0
1.6128387451171875,545,37.0
1.6173830032348633,502,0.0
1.6254920959472656,508,0.6000000000000227
1.6299288272857666,494,0.0
1.633535385131836,520,12.666666666666686
1.6382319927215576,519,10.769230769230774
1.6812188625335693,525,15.571428571428555
1.690664291381836,522,11.733333333333348
1.690664291381836,520,9.125
1.690664291381836,508,0.0
1.690664291381836,509,0.0
1.690664291381836,507,0.0
1.690664291381836,508,0.0
1.690664291381836,513,0.0
1.690664291381836,505,0.0
1.690664291381836,515,0.39999999999997726
1.6970961093902588,515,1.1000000000000227
1.6997261047363281,511,0.0
1.7053942680358887,519,5.899999999999977
1.7136833667755127,512,0.0
1.7180378437042236,507,0.0
1.7238273620605469,513,0.5
1.7238273620605469,502,0.0
1.735238790512085,518,4.600000000000023
1.7373483180999756,515,1.8500000000000227
1.7373483180999756,517,3.9500000000000455
1.7516038417816162,514,1.5
1.7538447380065918,517,4.75
1.7538447380065918,519,6.7999999999999545
1.7681403160095215,513,0.5499999999999545
1.7716600894927979,519,6.0499999999999545
1.7716600894927979,516,2.6000000000000227
1.7789943218231201,509,0.0
1.7857801914215088,515,1.4500000000000455
1.7913932800292969,509,0.0
1.7913932800292969,512,0.0
1.8019719123840332,524,9.950000000000045
1.809432029724121,514,0.0
1.8110308647155762,514,0.049999999999954525
1.817913293838501,520,5.649999999999977
1.8245043754577637,503,0.0
1.8245043754577637,520,5.5
1.8343234062194824,521,5.5499999999999545
1.8408119678497314,503,0.0
1.8408119678497314,511,0.0
1.8481905460357666,514,0.0
1.8518025875091553,510,0.0
1.8567657470703125,521,6.649999999999977
1.8651447296142578,516,1.7999999999999545
1.868330717086792,507,0.0
1.874659538269043,508,0.0
1.8822941780090332,513,0.0
1.88541579246521,511,0.0
1.88541579246521,506,0.0
1.893033504486084,518,4.7000000000000455
1.9022042751312256,513,0.0
1.9022042751312256,515,2.1000000000000227
1.9094820022583008,507,0.0
1.9202938079833984,516,3.3500000000000227
1.9202938079833984,514,1.6499999999999773
1.926365613937378,519,5.850000000000023
1.9368839263916016,511,0.0
1.9368839263916016,506,0.0
1.9443950653076172,514,1.5
1.9514150619506836,511,0.0
1.9549884796142578,515,2.4500000000000455
1.9606900215148926,509,0.0
1.9677150249481201,509,0.0
1.972160816192627,511,0.0
1.9753856658935547,510,0.0
1.9753856658935547,519,6.649999999999977
1.989248514175415,516,3.5
1.9918248653411865,517,4.2000000000000455
1.9983081817626953,513,0.0
2.002389669418335,514,1.0499999999999545
2.0087220668792725,512,0.0
2.0087220668792725,520,6.850000000000023
2.0166265964508057,520,6.2000000000000455
2.02518892288208,503,0.0
2.030951738357544,510,0.0
2.0342812538146973,506,0.0
2.0364670753479004,504,0.0
2.0453243255615234,518,5.4500000000000455
2.0453243255615234,508,0.0
2.0540640354156494,511,0.0
2.063324451446533,514,1.7999999999999545
2.063324451446533,505,0.0
2.0704360008239746,517,4.600000000000023
2.078672409057617,515,2.3999999999999773
2.08060884475708,524,10.700000000000045
2.087717056274414,517,3.7999999999999545
2.087717056274414,517,3.75
2.096555709838867,510,0.0
2.1025187969207764,514,1.0499999999999545
2.107320785522461,514,1.0499999999999545
2.1164486408233643,510,0.0
2.118588924407959,514,1.4500000000000455
2.123748302459717,507,0.0
2.123748302459717,517,4.399999999999977
2.13679838180542,523,9.75
2.13679838180542,499,0.0
2.1442689895629883,522,8.200000000000045
2.1538853645324707,521,7.0499999999999545
2.1538853645324707,510,0.0
2.160994529724121,515,0.75
2.1703243255615234,516,1.6499999999999773
2.1704416275024414,518,3.0
2.17759370803833,509,0.0
2.17759370803833,512,0.0
2.18723464012146,512,0.0
2.192502498626709,517,3.1499999999999773
2.192502498626709,511,0.0
2.2072885036468506,510,0.0
2.211052417755127,518,4.25
2.213181257247925,509,0.0
2.219308853149414,515,1.25
2.227191925048828,507,0.0
2.227191925048828,519,5.0
2.233711004257202,510,0.0
2.242324113845825,499,0.0
2.245915651321411,517,3.6499999999999773
2.2521462440490723,514,1.0499999999999545
2.2521462440490723,502,0.0
2.2604174613952637,514,1.7999999999999545
2.2665748596191406,521,8.5
2.269784450531006,499,0.0
2.275035858154297,517,5.399999999999977
2.2842957973480225,523,10.700000000000045
2.286813497543335,503,0.0
2.2921667098999023,510,0.0
2.3001821041107178,511,0.0
2.3037726879119873,514,2.3999999999999773
2.3073160648345947,521,8.850000000000023
2.317086935043335,514,2.0500000000000114
2.3213791847229004,514,1.7999999999999545
2.323958158493042,518,5.649999999999977
2.3332278728485107,508,0.0
2.3376073837280273,512,0.0
2.3405160903930664,506,0.0
2.3405160903930664,505,0.0
2.354177474975586,510,0.0
2.3578195571899414,502,0.0
2.3578195571899414,502,0.0
2.3697311878204346,509,0.0
2.373429298400879,524,12.899999999999977
2.373429298400879,511,0.0
