time,peak,duration,energy,sharpness,label
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4187,0.9876,noise
0.107,23,0.0,0.4187,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.107,23,0.0,0.4208,0.9876,noise
0.109,23,0.0,0.4229,0.9876,noise
0.109,23,0.0,0.4229,0.9876,noise
0.109,23,0.0,0.4208,0.9876,noise
0.109,23,0.0,0.4208,0.9876,noise
0.109,23,0.0,0.4208,0.9876,noise
0.109,23,0.0,0.4258,0.9876,noise
0.109,23,0.0,0.4258,0.9876,noise
0.109,23,0.0,0.4258,0.9876,noise
0.109,23,0.0,0.4237,0.9876,noise
0.109,23,0.0,0.4237,0.9876,noise
0.109,23,0.0,0.4237,0.9876,noise
0.109,23,0.0,0.4237,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4237,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4216,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4152,0.9876,noise
0.109,23,0.0,0.4152,0.9876,noise
0.109,23,0.0,0.4152,0.9876,noise
0.109,23,0.0,0.4152,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4173,0.9876,noise
0.109,23,0.0,0.4194,0.9876,noise
0.124,23,0.0,0.4194,0.9876,noise
0.124,23,0.0,0.4194,0.9876,noise
0.124,23,0.0,0.4244,0.9876,noise
0.124,23,0.0,0.4266,0.9876,noise
0.124,23,0.0,0.4266,0.9876,noise
0.124,23,0.0,0.4287,0.9876,noise
0.124,23,0.0,0.4287,0.9876,noise
0.124,23,0.0,0.4266,0.9876,noise
0.124,23,0.0,0.4266,0.9876,noise
0.124,23,0.0,0.4244,0.9876,noise
0.124,23,0.0,0.4244,0.9876,noise
0.124,23,0.0,0.4244,0.9876,noise
0.124,23,0.0,0.4244,0.9876,noise
0.124,23,0.0,0.4223,0.9876,noise
0.124,23,0.0,0.4223,0.9876,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4273,1.0306,noise
0.124,24,0.0,0.4273,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4273,1.0306,noise
0.124,24,0.0,0.4273,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4337,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4316,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4294,1.0306,noise
0.124,24,0.0,0.4366,1.0306,noise
0.124,24,0.0,0.4366,1.0306,noise
0.124,24,0.0,0.4344,1.0306,noise
0.124,24,0.0,0.4344,1.0306,noise
0.124,24,0.0,0.4344,1.0306,noise
0.124,24,0.0,0.4344,1.0306,noise
0.14,24,0.0,0.4366,1.0306,noise
0.14,24,0.0,0.4366,1.0306,noise
0.14,24,0.0,0.4344,1.0306,noise
0.14,24,0.0,0.4344,1.0306,noise
0.14,24,0.0,0.4366,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4337,1.0306,noise
0.14,24,0.0,0.4337,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4337,1.0306,noise
0.14,24,0.0,0.4337,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4316,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4294,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4273,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4202,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.14,24,0.0,0.4223,1.0306,noise
0.156,24,0.0,0.4223,1.0306,noise
0.156,24,0.0,0.4223,1.0306,noise
0.156,24,0.0,0.4223,1.0306,noise
0.156,24,0.0,0.4223,1.0306,noise
0.156,24,0.0,0.4202,1.0306,noise
0.156,24,0.0,0.4181,1.0306,noise
0.156,24,0.0,0.4202,1.0306,noise
0.156,24,0.0,0.4202,1.0306,noise
0.156,24,0.0,0.4202,1.0306,noise
0.156,24,0.0,0.4202,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4252,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4209,1.0306,noise
0.156,24,0.0,0.4209,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4231,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4323,1.0306,noise
0.156,24,0.0,0.4323,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4281,1.0306,noise
0.156,24,0.0,0.4302,1.0306,noise
0.156,24,0.0,0.4323,1.0306,noise
0.156,24,0.0,0.4323,1.0306,noise
0.156,24,0.0,0.4323,1.0306,noise
0.156,24,0.0,0.4273,1.0306,noise
0.171,24,0.0,0.4273,1.0306,noise
0.171,24,0.0,0.4294,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4379,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4379,1.0306,noise
0.171,24,0.0,0.4379,1.0306,noise
0.171,24,0.0,0.4379,1.0306,noise
0.171,24,0.0,0.4379,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4358,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4337,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4316,1.0306,noise
0.171,24,0.0,0.4294,1.0306,noise
0.171,24,0.0,0.4244,1.0306,noise
0.171,24,0.0,0.4244,1.0306,noise
0.171,24,0.0,0.4244,1.0306,noise
0.171,24,0.0,0.4223,1.0306,noise
0.171,24,0.0,0.4223,1.0306,noise
0.171,24,0.0,0.4244,1.0306,noise
0.171,24,0.0,0.4244,1.0306,noise
0.171,24,0.0,0.4266,1.0306,noise
0.171,24,0.0,0.4266,1.0306,noise
0.171,24,0.0,0.4266,1.0306,noise
0.171,24,0.0,0.4266,1.0306,noise
0.171,24,0.0,0.4287,1.0306,noise
0.171,24,0.0,0.4287,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4194,1.0306,noise
0.187,24,0.0,0.4194,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4194,1.0306,noise
0.187,24,0.0,0.4194,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4216,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4237,1.0306,noise
0.187,24,0.0,0.4258,1.0306,noise
